Transaction Date,Post Date,Description,Category,Type,Amount,Memo
10/14/2022,10/14/2022,FOREIGN TRANSACTION FEE,Fees & Adjustments,Fee,-0.17,
10/12/2022,10/14/2022,Fly PLAY,Travel,Sale,-5.88,
10/13/2022,10/14/2022,TMOBILE*AUTO PAY,Bills & Utilities,Sale,-119.88,
10/12/2022,10/13/2022,CSC SERVICEWORK,Food & Drink,Sale,-2.00,
10/12/2022,10/13/2022,MBTA NORTH QUINCY,Travel,Sale,-11.00,
10/12/2022,10/13/2022,WALGREENS #11831,Health & Wellness,Sale,-21.24,
10/11/2022,10/13/2022,7-ELEVEN 34396,Gas,Sale,-2.39,
10/10/2022,10/11/2022,TST* Punjab Cafe,Food & Drink,Sale,-18.19,
10/08/2022,10/09/2022,WALGREENS #11831,Health & Wellness,Sale,-31.32,
10/08/2022,10/09/2022,MARSHALLS #0708,Shopping,Sale,-89.98,
10/07/2022,10/09/2022,CSC SERVICEWORK,Food & Drink,Sale,-2.00,
10/02/2022,10/03/2022,7-ELEVEN 37373,Gas,Sale,-4.10,
10/01/2022,10/02/2022,Payment Thank You - Web,,Payment,533.32,
10/02/2022,10/02/2022,gotogate_us_LTWKAL,Travel,Sale,-486.35,
09/28/2022,09/30/2022,7-ELEVEN 34396,Gas,Sale,-2.39,
09/28/2022,09/30/2022,7-ELEVEN 34396,Gas,Sale,-5.10,
09/29/2022,09/30/2022,CSC SERVICEWORK,Food & Drink,Sale,-2.00,
09/28/2022,09/29/2022,7-ELEVEN 37373,Gas,Sale,-6.49,
09/27/2022,09/27/2022,AUTOMATIC PAYMENT - THANK,,Payment,10.42,
09/27/2022,09/27/2022,THAI NOODL* THAI NOODL,Food & Drink,Sale,-20.28,
09/23/2022,09/25/2022,SEGPAY.COM  *SKYLINE,Shopping,Sale,-6.99,
09/22/2022,09/25/2022,7-ELEVEN 34396,Gas,Sale,-5.10,
09/21/2022,09/22/2022,TST* Christos Pizza,Food & Drink,Sale,-19.26,
09/20/2022,09/22/2022,7-ELEVEN 34396,Gas,Sale,-5.10,
09/17/2022,09/18/2022,7-ELEVEN 37373,Gas,Sale,-8.03,
09/16/2022,09/18/2022,7-ELEVEN 34396,Gas,Sale,-7.69,
09/16/2022,09/18/2022,SEGPAY.COM  *SKYLINE,Shopping,Sale,-6.99,
09/15/2022,09/16/2022,ROCHE BROTHERS115,Groceries,Sale,-14.58,
09/14/2022,09/16/2022,7-ELEVEN 34396,Gas,Sale,-7.69,
09/14/2022,09/15/2022,CSC SERVICEWORK,Food & Drink,Sale,-2.00,
09/14/2022,09/15/2022,TST* Christos Pizza,Food & Drink,Sale,-12.84,
09/12/2022,09/14/2022,7-ELEVEN 34396,Gas,Sale,-5.18,
09/13/2022,09/14/2022,7-ELEVEN 37373,Gas,Sale,-2.54,
09/13/2022,09/14/2022,TMOBILE*AUTO PAY,Bills & Utilities,Sale,-65.41,
09/12/2022,09/14/2022,7-ELEVEN 34396,Gas,Sale,-5.10,
09/11/2022,09/13/2022,7-ELEVEN 37373,Gas,Sale,-2.54,
09/12/2022,09/13/2022,7-ELEVEN 37373,Gas,Sale,-5.78,
09/11/2022,09/12/2022,7-ELEVEN 37373,Gas,Sale,-5.92,
09/11/2022,09/12/2022,COINTRACKER,Shopping,Sale,-179.10,
09/10/2022,09/11/2022,QUINCY INTERNATIONALFOODS,Food & Drink,Sale,-21.12,
09/08/2022,09/11/2022,7-ELEVEN 34396,Gas,Sale,-21.66,
09/09/2022,09/11/2022,SEGPAY.COM  *SKYLINE,Shopping,Sale,-6.99,
09/08/2022,09/09/2022,7-ELEVEN 37373,Gas,Sale,-10.42,
09/06/2022,09/08/2022,7-ELEVEN 34396,Gas,Sale,-2.59,
09/06/2022,09/08/2022,7-ELEVEN 34396,Gas,Sale,-4.60,
09/05/2022,09/07/2022,7-ELEVEN 37373,Gas,Sale,-8.03,
09/06/2022,09/07/2022,TST* Christos Pizza,Food & Drink,Sale,-16.05,
09/02/2022,09/05/2022,SEGPAY.COM  *SKYLINE,Shopping,Sale,-6.99,
09/04/2022,09/04/2022,THAI NOODL* THAI NOODL,Food & Drink,Sale,-16.00,
09/01/2022,09/04/2022,7-ELEVEN 34396,Gas,Sale,-4.60,
09/01/2022,09/04/2022,7-ELEVEN 34396,Gas,Sale,-5.18,
09/02/2022,09/04/2022,7-ELEVEN 37373,Gas,Sale,-4.99,
08/31/2022,09/01/2022,7-ELEVEN 37373,Gas,Sale,-10.42,
08/31/2022,09/01/2022,Payment Thank You - Web,,Payment,580.76,
08/29/2022,08/31/2022,7-ELEVEN 34396,Gas,Sale,-21.16,
08/30/2022,08/31/2022,7-ELEVEN 37373,Gas,Sale,-10.42,
08/30/2022,08/31/2022,TST* Christos Pizza,Food & Drink,Sale,-16.05,
08/27/2022,08/30/2022,7-ELEVEN 37373,Gas,Sale,-10.27,
08/29/2022,08/30/2022,7-ELEVEN 37373,Gas,Sale,-8.03,
08/26/2022,08/28/2022,7-ELEVEN 34396,Gas,Sale,-4.60,
08/26/2022,08/28/2022,PAYPAL *STEAM GAMES,Entertainment,Sale,-1.69,
08/25/2022,08/28/2022,7-ELEVEN 34396,Gas,Sale,-5.18,
08/27/2022,08/28/2022,BRAVO PIZZERIA,Food & Drink,Sale,-14.45,
08/26/2022,08/26/2022,AUTOMATIC PAYMENT - THANK,,Payment,40.00,
08/24/2022,08/26/2022,7-ELEVEN 34396,Gas,Sale,-4.60,
08/23/2022,08/24/2022,7-ELEVEN 37373,Gas,Sale,-10.61,
08/23/2022,08/24/2022,WENDYS #0925,Food & Drink,Sale,-10.90,
08/22/2022,08/24/2022,7-ELEVEN 34396,Gas,Sale,-4.60,
08/22/2022,08/23/2022,ALFA AUTO FUEL,Gas,Sale,-54.14,
